,No,Category,SubCategory,Post,HateSpeech,PreprocessedToken
568,501,Gender,Female,Woman are too low IQ to subvert anything or convince men,1,"['woman', 'low', 'subvert', 'convince', 'man']"
569,502,Religion,Islam,Have a big heart.,0,"['big', 'heart']"
570,502,Religion,Islam,Nabi never teach people to hate.,0,"['habit', 'never', 'teach', 'people', 'hate']"
571,503,Gender,Female,Death to all used up whores.,1,"['death', 'use', 'shore']"
572,504,Religion,Christianity,Christians have no god.,1,['christian']
573,504,Religion,Christianity,I am their god.,1,[]
574,505,Gender,Female,Why do foids bother with this place when they can be just cumdumpters,1,"['fold', 'bother', 'place', 'cumdumpter']"
575,506,Religion,Islam,Arrest Siti Kassim.,1,['arrest']
576,506,Religion,Islam,She's a traitor.,1,['traitor']
577,507,Gender,Female,Hope she gets graped and shat on,1,"['hope', 'grasp']"
578,508,Race,Malay,You are too afraid to boycott China?,1,"['afraid', 'boycott']"
579,508,Race,Malay,of course you won't.. you are a pig,1,"['course', 'pig']"
580,509,Gender,Female,The girl is a victim of sexual assault.,0,"['girl', 'victim', 'sexual', 'assault']"
581,511,Race,Chinese,Why you are defending Chinese?,1,"['defend', 'chinese']"
582,511,Race,Chinese,You are probably one of them,1,['probably']
583,512,Gender,Female,dirty fucking whore,1,"['dirty', 'fucking']"
584,513,Race,Multiple, chinks and pajeets can enjoy malay girls while meleis can cry about it,1,"['chink', 'parent', 'enjoy', 'malay', 'girl', 'mile', 'cry']"
585,514,Race,Chinese,shut the fuck up you chink,1,"['shut', 'fuck', 'chink']"
586,516,Gender,Female,you're a feminist,0,['feminist']
587,517,Race,Chinese,There are Chinese who are also a cancer in Malaysia,1,"['also', 'cancer', 'malaysia']"
588,518,Gender,Male,I FUCKING DESPISE MEN THEIR VERY EXISTENCE MAKES A MOCKERY OF LOW STATUS WOMEN,1,"['fuck', 'despise', 'man', 'existence', 'make', 'mockery', 'low', 'status', 'woman']"
589,519,Gender,Female,"Nothing will overcome nature's barrier of worthiness between male sperm and female eggs, and nothing will separate any ovum from this barrier of nature.",0,"['overcome', 'nature', 'barrier', 'worthless', 'male', 'speak', 'female', 'egg', 'separate', 'barrier', 'nature']"
590,520,Gender,Male,dudes don't sleep with Teddy bears,0,"['duke', 'sleep', 'bear']"
591,521,Race,Chinese,they have built their media and political presence using cheap tactics sanctioned by their modern day colonial masters.,1,"['build', 'medium', 'political', 'presence', 'use', 'cheap', 'tactic', 'sanction', 'modern', 'day', 'colonial', 'master']"
592,522,Race,Chinese,Many Chinese are also gangsters.,1,"['also', 'gangster']"
593,523,Race,Chinese,"Take selective few, screenshot and label all Chinese as racist",0,"['take', 'selective', 'screenshot', 'label', 'chinese', 'racism']"
594,524,Race,Malaysian,at the end he was talking about malaysians..,0,"['end', 'talk', 'malaysian']"
595,527,Religion,Islam,Why BABI is an offensive word?,0,"['offensive', 'word']"
596,527,Religion,Islam,BABI is a kind binatang.,0,[]
597,527,Religion,Islam,BABI haram is from religion.,0,"['babi', 'harm', 'religion']"
598,527,Religion,Islam,Don't blame BABI on everything.,0,"['blame', 'babi']"
599,528,Gender,Male,"Despite the number of men and women in the world being equal, in feminist societies in the modern ERa, the situation in terms of �distribution of love and sex� is completely unfair to men",0,"['number', 'man', 'woman', 'world', 'equal', 'feminist', 'society', 'modern', 'situation', 'term', 'love', 'completely', 'unfair', 'man']"
600,530,Gender,Male,Blame the men for constructing such society like this.,1,"['blame', 'man', 'construct', 'society']"
601,531,Race,Chinese,These are not Chinese kids but normal PLA soldiers.,1,"['kiss', 'normal', 'pla', 'soldier']"
602,531,Race,Chinese,This is just what they look like to the average corn-fed American,1,"['look', 'average', 'cornfe']"
603,532,Gender,Female,Idgaf about the opinion of women I want them all enslaved.,1,"['deaf', 'opinion', 'woman', 'want', 'enslave']"
604,533,Race,Chinese,There are bunch of Chinese kids riding motor dangerously outside my taman,0,"['kiss', 'ride', 'motor', 'dangerously', 'maman']"
605,534,Race,Malay,He thinks only Malay will become mat rempit,0,"['think', 'malay', 'become', 'mat', 'remain']"
606,535,Race,Malay,Malay kids speeding back to their kampung,0,"['kiss', 'speed', 'camp']"
607,536,Religion,Multiple,We must boycott non-Muslim products to take a stance for Palestine.,1,"['boycott', 'nonslim', 'product', 'take', 'stance']"
608,537,Religion,Islam,I always purchase Muslim products.,0,"['always', 'purchase', 'slim', 'product']"
609,537,Religion,Islam,They are cheaper anyways.,0,"['cheap', 'anyway']"
610,538,Race,Chinese,"It's simply over, every man in my shit country needs go against the chinese shadow government.",1,"['simply', 'man', 'shit', 'country', 'need', 'go', 'chinese', 'shadow', 'government']"
611,539,Gender,Female,Female loves attention...,0,"['female', 'love', 'attention']"
612,539,Gender,Female,It can't be helped,0,['help']
613,542,Race,Chinese,Those who say that Chinese can't speak malay .. take that man .. he's speaking like a malay ..,0,"['say', 'speak', 'malay', 'take', 'man', 'speak', 'malay']"
614,543,Gender,Female,"It's fucking unbelievable, dude.",0,"['unbelievable', 'due']"
615,543,Gender,Female,"Woman just have to exist and humans will automatically gift them money, shower them with attention, compliments, will pity them.",0,"['woman', 'exist', 'human', 'automatically', 'gift', 'money', 'shower', 'attention', 'compliment', 'pity']"
616,544,Gender,Male," Men are the real victims here, but ofc no one would fucking care about that.",0,"['man', 'real', 'victim', 'fucking', 'care']"
617,545,Gender,Male,I think men are even MORE DESPERATE than what we estimated.,0,"['think', 'man', 'even', 'desperate', 'estimate']"
618,548,Gender,Female,Girls should be outlawed and destroyed.,1,"['girl', 'outlaw', 'destroy']"
619,550,Race,Malay,I am deeply ashamed of this lunatic who thinks he represent the whole Malay community,0,"['deeply', 'ashamed', 'lunatic', 'think', 'represent', 'whole', 'malay', 'community']"
620,552,Gender,Female,I don't care.,1,['care']
621,552,Gender,Female,The society hates women and the women knew they are deserved.,1,"['society', 'rate', 'woman', 'woman', 'know', 'deserved']"
622,552,Gender,Female,They hate themselves too.,1,['hate']
623,554,Race,Chinese,Some Chinese are so hard to please,0,['hard']
624,556,Religion,Hinduism,Ape relligion,1,['religion']
625,557,Race,Multiple,Look at how he treat people from other race,0,"['take', 'treat', 'people', 'race']"
626,559,Religion,Christianity,I can't believe that Christians exist in the world.,1,"['believe', 'christian', 'exist', 'world']"
627,559,Religion,Christianity,I hate them so much I wish they never exist.,1,"['hate', 'much', 'wish', 'never', 'exist']"
628,560,Religion,Unknown,That old man literally got angry so much by a kafir,0,"['old', 'man', 'literally', 'get', 'angry', 'much', 'hair']"
629,563,Race,Chinese,Malay never did anything wrong before.,0,"['unmake', 'wrong']"
630,563,Race,Chinese,Only Chinese will make mistakes.,0,"['make', 'mistake']"
631,564,Race,Malay,Impatient species,1,"['impatient', 'specie']"
632,566,Religion,Islam,He sounded patronising when he mentioned Ramadhan to the pakcik.,0,"['sound', 'patronize', 'mention', 'pack']"
633,567,Religion,Islam,Name & shame this guy.,0,"['shame', 'guy']"
634,567,Religion,Islam,A disgrace to his religion.,0,"['disgrace', 'religion']"
635,568,Religion,Multiple,I am atheist but seeing people with religion really make me reflect that people with religion actually is worst than godless people as a human being,0,"['atheist', 'see', 'people', 'religion', 'really', 'make', 'reflect', 'people', 'religion', 'actually', 'bad', 'goddess', 'people', 'human']"
636,569,Religion,Islam,the purpose of puasa is to control urges... he got an F for this,0,"['purpose', 'control', 'urge', 'get']"
637,570,Religion,Multiple,"when someone of the same race doing some shit stuff, it is best to just admit that there is flaw with every religion and humanity instead of brushing off the problem.",0,"['race', 'shit', 'stuff', 'good', 'admit', 'flaw', 'religion', 'humanity', 'instead', 'brush', 'problem']"
638,571,Religion,Islam,Non Muslim should keep quiet about anything related to islam,1,"['slim', 'keep', 'quiet', 'relate', 'slam']"
639,572,Race,Malay,We used to say alhamdulillah and insha Allah with our Malay classmates back in the days.,0,"['use', 'classmate', 'back', 'day']"
640,572,Race,Malay,Guess we can't say it now either.,0,"['guess', 'say']"
641,573,Religion,Christianity,He already apoligised?,0,"['already', 'apologise']"
642,573,Religion,Christianity,What do you want?,0,['want']
643,573,Religion,Christianity,Crucifying him because he's christian?,0,"['crucify', 'christian']"
644,574,Religion,Islam,Muslim can't eat.,1,"['slim', 'eat']"
645,574,Religion,Islam,That's why their brain is so braindead in Ramadan.,1,"['brain', 'brand']"
646,575,Religion,Buddhism,humans are not perfect.,0,"['human', 'imperfect']"
647,575,Religion,Buddhism,But the religion itself is perfect already.,0,"['religion', 'perfect', 'already']"
648,576,Race,Malaysian,Malaysian professors are good at writing bullshit,0,"['professor', 'good', 'write', 'bullshit']"
649,578,Race,Chinese,I want to punch this Chinese face,1,"['want', 'punch', 'chinese', 'face']"
650,579,Race,Malay,his fellow malay chauvinists must be dancing with joy!,0,"['fellow', 'malay', 'chauvinist', 'dance', 'joy']"
651,580,Race,Malay,"Winner always writes history, but oh god these malay, haven't won and already want to rewrite history",0,"['dinner', 'always', 'write', 'history', 'already', 'want', 'write', 'history']"
652,581,Race,Multiple,"this type of ppl that always want to promote or bring his type to higher level should at least show or proof by improving our currency and economy, rather than keep harping about the past to show the superiority.",0,"['type', 'pp', 'always', 'want', 'promote', 'bring', 'type', 'high', 'level', 'least', 'show', 'proof', 'improve', 'currency', 'economy', 'rather', 'keep', 'past', 'show', 'superiority']"
653,581,Race,Multiple,What they can achieve with that?,0,['achieve']
654,582,Race,Malay,Truth be told.,0,"['truth', 'tell']"
655,582,Race,Malay,Malay civilisation has nothing much to be shared.,0,"['malay', 'civilisation', 'much', 'share']"
656,582,Race,Malay,"It's either some indon ran to Melaka and bring their culture here, or Chinese/indian influx to Malaya.",0,"['run', 'bring', 'culture']"
657,585,Race,Foreigner,You know what the shameful thing is?,0,"['know', 'shameful', 'thing']"
658,585,Race,Foreigner,A foreign historian has to refute your country fake history.,0,"['foreign', 'refute', 'country', 'face', 'history']"
659,586,Race,Foreigner,I don't trust 100% foreign historian,0,"['trust', 'foreign', 'historian']"
660,587,Race,Foreigner,I don't trust foreigners.,1,"['trust', 'foreigner']"
661,587,Race,Foreigner,They always spread fake news.,1,"['always', 'spread', 'face', 'news']"
662,589,Race,Malay,"Sir, let them rot please, they already outnumber us nons, if they outsmart us, how we nons gonna cari makan.",1,"['air', 'let', 'rot', 'already', 'outnumber', 'none', 'outsmart', 'none', 'care']"
663,589,Race,Malay,Don't cure their laziness & dumbness please.,1,"['cure', 'laziness', 'numbness']"
664,590,Race,Malay,Malay historians and lying.,1,"['historian', 'lie']"
665,590,Race,Malay,Name a more iconic duo,1,['ironic']
666,591,Gender,Female,Women's rights were a mistake,1,"['woman', 'right', 'mistake']"
667,592,Gender,Female,Feminism needs to be eliminated from this work,1,"['feminist', 'need', 'eliminate', 'work']"
668,593,Gender,Female,Feminism is all about hating ethic males,1,"['feminist', 'hate', 'ethic', 'male']"
669,594,Race,Foreigner,I blame the Jews.,1,"['blame', 'news']"
670,596,Race,Foreigner,"We don't rewrite history, we define what is history and you cannot question because you are from the west.",1,"['write', 'history', 'define', 'history', 'answer', 'west']"
671,597,Race,Malaysian,Only in Malaysia will boycott your own countrymen.,0,"['boycott', 'countryman']"
672,597,Race,Malaysian,"Entire world out there competing against us, we here internally fighting each other for no reason.",0,"['entire', 'world', 'compete', 'internally', 'fight', 'reason']"
673,598,Race,Malay,Melei cancel culture because they want to be supremacists,0,"['cancel', 'culture', 'want', 'supremacist']"
674,601,Race,Malay,I'm scared I might get in trouble by offending our princes.,0,"['scared', 'get', 'trouble', 'offend', 'prince']"
675,602,Race,Malay,We don't want malay business.,1,"['want', 'malay', 'business']"
676,604,Race,Malay,Most of those companies have bumi shareholders.,0,"['company', 'bump', 'shareholder']"
677,604,Race,Malay,Force them to sell those shares to become 100% non owned.,0,"['force', 'sell', 'share', 'non', 'own']"
678,604,Race,Malay,Then only you boycott.,0,['boycott']
679,605,Religion,Islam,Muslims should not become shareholders of chinese companies,1,"['become', 'shareholder', 'chinese', 'company']"
680,606,Religion,Multiple,There's no wrong fighting the non-believers whether be it from the same country or not.,1,"['wrong', 'fighting', 'nonbelieve', 'country']"
681,608,Race,Chinese,the only good cina is the cina that doesn't complain,1,"['good', 'complain']"
682,609,Race,Multiple,Hopeless racists.,0,"['hopeless', 'resist']"
683,609,Race,Multiple,"When they die, God will not differentiate them by race",0,"['die', 'differentiate', 'race']"
