,No,Category,SubCategory,Post,HateSpeech,PreprocessedToken,Representation
500,442,Race,Chinese,He has allowed Chinese to control the country and destroy our lives,1,"['allowed', 'chinese', 'control', 'country', 'destroy', 'lives']","[143, 103, 504, 2207, 1242, 1712, 503, 3, 204, 502]"
501,443,Race,Malay,"Its special privileged race arson nothing to see here , special race has been spoilt since independence and no PM in history had any guts to change that",0,"['special', 'privileged', 'race', 'arson', 'nothing', 'see', 'special', 'race', 'spoilt', 'since', 'independence', 'pm', 'history', 'guts', 'change']","[696, 1209, 1032, 146, 108, 283, 1574, 1210, 1211, 86]"
502,445,Religion,Buddhism,iam just tired of listening to buddhism preaching,0,"['iam', 'tired', 'listening', 'buddhism', 'preaching']","[30, 82, 139, 387, 204, 1579, 423, 28, 1135, 115]"
503,446,Religion,Christianity,This priest is only talk no action,0,"['priest', 'talk', 'inactivity']","[588, 199, 285, 156, 28, 381, 534, 3, 29, 60]"
504,447,Race,Chinese,The supermarket owner is a typical kapitalis babi,1,"['supermarket', 'owner', 'typical', 'kapitalis', 'babi']","[601, 392, 128, 217, 1708, 2528, 820, 836, 1826, 587]"
505,450,Race,Malay,melei men don't have the brain capacity to feel sympathy or empathy toward anyone.,1,"['melei', 'men', 'lack', 'brain', 'capacity', 'feel', 'sympathy', 'empathy', 'toward', 'anyone']","[28, 1553, 939, 845, 2159, 1835, 143, 635, 60, 204]"
506,450,Race,Malay,"that's why they're ugly, kepam, and uncouth lol",1,"['ugly', 'kepam', 'uncouth']","[481, 1045, 244, 1530, 2300, 110, 113, 3, 57, 56]"
507,452,Race,Chinese,"Always chinese, selfish",1,"['chinese', 'selfish']","[0, 29, 358, 336, 108, 148, 146, 66, 512, 205]"
508,454,Religion,Islam,One of those things many can never comprehend.,0,"['one', 'things', 'many', 'never', 'comprehend']","[303, 1076, 226, 221, 1209, 3016, 894, 503, 704, 167]"
509,454,Religion,Islam,Merokok adalah haram.,0,"['merokok', 'adalah', 'haram']","[1064, 19, 316, 2311, 1990, 136, 87, 28, 1379, 1224]"
510,454,Religion,Islam,National Fatwa Council decision years ago.,0,"['national', 'fatwa', 'council', 'decision', 'years']","[30, 82, 139, 387, 204, 1579, 423, 28, 1135, 115]"
511,454,Religion,Islam,"Yet, many Muslims blatantly smoke.",0,"['many', 'muslims', 'blatantly', 'smoke']","[87, 312, 2215, 242, 57, 396, 1142, 173, 25, 143]"
512,455,Race,Malay,Typical malay muslim extrimists...,0,"['typical', 'malay', 'muslim', 'extrimists']","[28, 1553, 939, 845, 2159, 1835, 143, 635, 60, 204]"
513,456,Race,Indian,"I told you, the robber is an Indian.",1,"['told', 'robber', 'indian']","[143, 103, 504, 2207, 1242, 1712, 503, 3, 204, 502]"
514,456,Race,Indian,They always rob others.,1,"['rob', 'others']","[1649, 257, 1096, 1298, 29, 1105, 1209, 1601, 139, 107]"
515,457,Race,Indian,"Don't get into my house, you flithy cow",1,"['take_away', 'house', 'flithy', 'cow']","[698, 367, 688, 283, 57, 1414, 1550, 474, 284, 2881]"
516,458,Religion,Islam,Every one of them is a ticking bomb.,1,"['every', 'one', 'ticking', 'bomb']","[242, 637, 217, 256, 1208, 262, 17, 260, 197, 1212]"
517,459,Religion,Islam,This is not the teaching of Islam,0,"['teaching', 'islam']","[136, 84, 234, 1326, 854, 10, 1614, 204, 87, 317]"
518,462,Gender,Female,All females r hoes,1,"['females', 'hoes']","[197, 1285, 637, 2046, 2728, 1991, 55, 138, 221, 93]"
519,464,Gender,Female,fuck girls and rape in front of him,1,"['fuck', 'girls', 'rape', 'front']","[1248, 1113, 897, 3, 923, 1013, 17, 1832, 1274, 3101]"
520,465,Race,Chinese,kill the chinese.,1,"['kill', 'chinese']","[0, 29, 358, 336, 108, 148, 146, 66, 512, 205]"
521,465,Race,Chinese,burn their house.,1,"['burn', 'house']","[698, 367, 688, 283, 57, 1414, 1550, 474, 284, 2881]"
522,465,Race,Chinese,that is not your family.,1,['family'],"[112, 2588, 575, 968, 331, 30, 128, 517, 551, 550]"
523,467,Race,Indian,Don't rent your room to Indians.,1,"['rent', 'room', 'indians']","[7, 204, 41, 838, 28, 291, 352, 234, 392, 146]"
524,467,Race,Indian,They will trash it.,1,['trash'],"[318, 815, 328, 6, 630, 770, 765, 234, 17, 946]"
525,468,Race,Indian,Shooting up places seems to be indian shit,1,"['shooting', 'places', 'seems', 'indian', 'shit']","[474, 1037, 121, 29, 1584, 2936, 1428, 15, 508, 355]"
526,469,Religion,Multiple,All agama teach to love not destroy,0,"['agama', 'teach', 'love', 'destroy']","[303, 1076, 226, 221, 1209, 3016, 894, 503, 704, 167]"
527,470,Religion,Islam,"Sorry, non-muslims.",0,"['sorry', 'nonmuslims']","[693, 423, 233, 2061, 198, 26, 2546, 473, 2347, 1028]"
528,470,Religion,Islam,Islam doesn't teach people to do such awful actions.,0,"['islam', 'teach', 'people', 'awful', 'actions']","[704, 2411, 3, 2206, 1050, 1673, 574, 1788, 17, 29]"
529,472,Gender,Male,Stay strong men,0,"['stay', 'strong', 'men']","[881, 176, 148, 207, 613, 700, 652, 1081, 544, 911]"
530,473,Gender,Female,All women matters,0,"['women', 'matters']","[7, 204, 41, 838, 28, 291, 352, 234, 392, 146]"
531,474,Race,Multiple," I love the China's one child policy and hate Arabs,Blacks, Indians, and Latinos, I hate that they have too many kids",1,"['love', 'china', 'one', 'child', 'policy', 'hate', 'arabs', 'blacks', 'indians', 'latinos', 'hate', 'many', 'kids']","[242, 637, 217, 256, 1208, 262, 17, 260, 197, 1212]"
532,475,Race,Indian,Beat the fuck out of these indians that's gross as fuck,1,"['beat', 'fuck', 'indians', 'gross', 'fuck']","[136, 84, 234, 1326, 854, 10, 1614, 204, 87, 317]"
533,477,Gender,Female,Let's give our full support to women.,0,"['let', 'give', 'full', 'support', 'women']","[1346, 204, 1082, 1772, 1514, 234, 30, 2344, 28, 1769]"
534,478,Race,Unknown,"Remember who owns this land, if you don't have manners we will deport you out!",1,"['remember', 'owns', 'land', 'lack', 'manners', 'deport']","[37, 2989, 902, 714, 716, 715, 0, 495, 2899, 2383]"
535,479,Religion,Multiple,I don't like what's becoming of these extremists.,0,"['unalike', 'becoming', 'extremists']","[318, 815, 328, 6, 630, 770, 765, 234, 17, 946]"
536,479,Religion,Multiple,But I really have noticed how many of these ppl from other religions are acting in Facebook and even Twitter,0,"['really', 'noticed', 'many', 'ppl', 'religions', 'acting', 'facebook', 'twitter']","[1040, 127, 174, 128, 1878, 28, 894, 1270, 423, 1817]"
537,480,Gender,Female,Woman will always cheat on men with some thugs.,1,"['woman', 'cheat', 'men', 'thugs']","[16, 17, 3, 1209, 1215, 186, 722, 530, 2505, 2734]"
538,480,Gender,Female,They deserved to get beat to death.,1,"['deserved', 'get', 'beat', 'death']","[176, 192, 56, 92, 98, 108, 17, 228, 1624, 278]"
539,481,Gender,Female,hopefully he breaks her neck and kills her soon,1,"['hopefully', 'breaks', 'neck', 'kills', 'soon']","[307, 1570, 773, 28, 860, 1972, 1626, 1265, 1153, 190]"
540,482,Gender,Female,Next time barge in and destroy her pussy,1,"['next', 'time', 'barge', 'destroy', 'pussy']","[307, 1570, 773, 28, 860, 1972, 1626, 1265, 1153, 190]"
541,483,Race,Multiple,"Imagine if interracial dating and marriage was banned, no group of men will be deprived of women because they are sticking to their own kind.",1,"['imagine', 'interracial', 'dating', 'marriage', 'banned', 'group', 'men', 'deprived', 'women', 'sticking', 'kind']","[16, 17, 3, 1209, 1215, 186, 722, 530, 2505, 2734]"
542,484,Gender,Female,"Why do women who who have been raped refer to themselves as ""survivors""?",1,"['women', 'raped', 'refer', 'survivors']","[20, 1466, 132, 56, 17, 92, 396, 3, 176, 29]"
543,484,Gender,Female,Their life wasnt threatened at any point unless the rapist held a gun to their head.,1,"['life', 'wasnt', 'threatened', 'point', 'unless', 'rapist', 'held', 'gun', 'head']","[28, 1553, 939, 845, 2159, 1835, 143, 635, 60, 204]"
544,484,Gender,Female,This is highly unprobable though because it is normally a chad and she enjoys it or a normie who is related to them.,1,"['highly', 'unprobable', 'though', 'normally', 'chad', 'enjoys', 'normie', 'related']","[37, 2989, 902, 714, 716, 715, 0, 495, 2899, 2383]"
545,485,Gender,Female,Fucking these cunt had a unwanted dick inside their rotted pussy for 5 minute and now they are acting like only one left from mass shooting survived wtf,1,"['fucking', 'cunt', 'unwanted', 'dick', 'inside', 'rotted', 'pussy', 'minute', 'acting', 'like', 'one', 'left', 'mass', 'shooting', 'survived', 'wtf']","[294, 221, 3, 1209, 347, 2319, 302, 1655, 1727, 445]"
546,486,Gender,Female,Woman love to play the victim in order to recieve attention or to excuse their shitty behavior.,1,"['woman', 'love', 'play', 'victim', 'order', 'recieve', 'attention', 'excuse', 'shitty', 'behavior']","[303, 1076, 226, 221, 1209, 3016, 894, 503, 704, 167]"
547,486,Gender,Female,You should not hire them in any occasions.,1,"['fire', 'occasions']","[481, 1045, 244, 1530, 2300, 110, 113, 3, 57, 56]"
548,487,Gender,Female,the women that lie about being raped should go to jail for a very long time.,0,"['women', 'lie', 'raped', 'go', 'jail', 'long', 'time']","[20, 1466, 132, 56, 17, 92, 396, 3, 176, 29]"
549,488,Gender,Female,women are not equal and she even lose her value once shes raped thats why she gotta stay with her rapist which is perfect,1,"['women', 'unequal', 'lose', 'value', 'shes', 'raped', 'thats', 'got', 'ta', 'stay', 'rapist', 'perfect']","[81, 80, 593, 108, 83, 303, 20, 940, 3, 56]"
550,489,Religion,Christianity,Fake christian who didn't read the bible should not give his opinions on God here.,0,"['fake', 'christian', 'read', 'bible', 'take', 'opinions', 'god']","[1669, 889, 74, 572, 256, 1372, 1371, 1373, 423, 571]"
551,490,Religion,Christianity,I want to crush these jesus statues,1,"['want', 'crush', 'jesus', 'statues']","[588, 199, 285, 156, 28, 381, 534, 3, 29, 60]"
552,492,Gender,Female,It is a woman's fault for getting sexually harrassed.,1,"['woman', 'fault', 'getting', 'sexually', 'harrassed']","[17, 56, 1713, 196, 506, 99, 204, 3, 205, 29]"
553,493,Gender,Male,All men are rapists.,1,"['men', 'rapists']","[16, 17, 3, 1209, 1215, 186, 722, 530, 2505, 2734]"
554,494,Race,Indian,"Indians are inferior, uncontrollable and ruthless in their DNA.",1,"['indians', 'inferior', 'uncontrollable', 'ruthless', 'dna']","[545, 29, 3, 531, 629, 234, 158, 793, 684, 685]"
555,494,Race,Indian,That's why you should never go to India alone.,1,"['no-go', 'india', 'alone']","[588, 199, 285, 156, 28, 381, 534, 3, 29, 60]"
556,496,Religion,Islam,I want Israel to bomb the shit out of Gaza,1,"['want', 'israel', 'bomb', 'shit', 'gaza']","[112, 2588, 575, 968, 331, 30, 128, 517, 551, 550]"
557,498,Race,Malay,"Boycott on malay product doesn't ever work.,bcs ever since they never try to buy.",0,"['boycott', 'malay', 'product', 'never', 'work', 'bcs', 'since', 'never', 'try', 'buy']","[1669, 889, 74, 572, 256, 1372, 1371, 1373, 423, 571]"
558,498,Race,Malay,Except smtg they can't live without like sambal.,0,"['except', 'smtg', 'dead', 'without', 'like', 'sambal']","[242, 637, 217, 256, 1208, 262, 17, 260, 197, 1212]"
559,500,Race,Chinese,you are a poor trash leech,1,"['poor', 'trash', 'leech']","[318, 815, 328, 6, 630, 770, 765, 234, 17, 946]"
560,501,Gender,Female,Woman are too low IQ to subvert anything or convince men,1,"['woman', 'low', 'iq', 'subvert', 'anything', 'convince', 'men']","[303, 1076, 226, 221, 1209, 3016, 894, 503, 704, 167]"
561,502,Religion,Islam,Have a big heart.,0,"['big', 'heart']","[481, 1045, 244, 1530, 2300, 110, 113, 3, 57, 56]"
562,502,Religion,Islam,Nabi never teach people to hate.,0,"['nabi', 'never', 'teach', 'people', 'hate']","[303, 1076, 226, 221, 1209, 3016, 894, 503, 704, 167]"
563,503,Gender,Female,Death to all used up whores.,1,"['death', 'used', 'whores']","[1623, 3, 136, 2644, 2050, 715, 1197, 139, 1250, 2145]"
564,504,Religion,Christianity,Christians have no god.,1,"['christians', 'god']","[318, 815, 328, 6, 630, 770, 765, 234, 17, 946]"
565,504,Religion,Christianity,I am their god.,1,['god'],"[693, 423, 233, 2061, 198, 26, 2546, 473, 2347, 1028]"
566,505,Gender,Female,Why do foids bother with this place when they can be just cumdumpters,1,"['foids', 'bother', 'place', 'cumdumpters']","[545, 29, 3, 531, 629, 234, 158, 793, 684, 685]"
567,506,Religion,Islam,Arrest Siti Kassim.,1,"['arrest', 'siti', 'kassim']","[29, 1023, 2889, 17, 130, 3, 242, 1147, 1697, 1324]"
568,506,Religion,Islam,She's a traitor.,1,['traitor'],"[161, 395, 1467, 95, 1144, 22, 1291, 228, 459, 467]"
569,507,Gender,Female,Hope she gets graped and shat on,1,"['hope', 'gets', 'graped', 'shat']","[1248, 1113, 897, 3, 923, 1013, 17, 1832, 1274, 3101]"
570,508,Race,Malay,You are too afraid to boycott China?,1,"['afraid', 'boycott', 'china']","[1685, 1895, 121, 165, 1091, 1711, 2919, 557, 745, 2895]"
571,508,Race,Malay,of course you won't.. you are a pig,1,"['course', 'pig']","[81, 80, 593, 108, 83, 303, 20, 940, 3, 56]"
572,509,Gender,Female,The girl is a victim of sexual assault.,0,"['girl', 'victim', 'sexual', 'assault']","[34, 1532, 35, 1356, 1331, 493, 36, 487, 944, 313]"
573,511,Race,Chinese,Why you are defending Chinese?,1,"['defending', 'chinese']","[0, 29, 358, 336, 108, 148, 146, 66, 512, 205]"
574,511,Race,Chinese,You are probably one of them,1,['one'],"[221, 97, 891, 401, 220, 1120, 400, 402, 901, 423]"
575,512,Gender,Female,dirty fucking whore,1,"['dirty', 'fucking', 'whore']","[1649, 257, 1096, 1298, 29, 1105, 1209, 1601, 139, 107]"
576,513,Race,Multiple, chinks and pajeets can enjoy malay girls while meleis can cry about it,1,"['chinks', 'pajeets', 'enjoy', 'malay', 'girls', 'meleis', 'cry']","[28, 1553, 939, 845, 2159, 1835, 143, 635, 60, 204]"
577,514,Race,Chinese,shut the fuck up you chink,1,"['shut', 'fuck', 'chink']","[136, 84, 234, 1326, 854, 10, 1614, 204, 87, 317]"
578,516,Gender,Female,you're a feminist,0,['feminist'],"[143, 103, 504, 2207, 1242, 1712, 503, 3, 204, 502]"
579,517,Race,Chinese,There are Chinese who are also a cancer in Malaysia,1,"['chinese', 'cancer', 'malaysia']","[17, 56, 1713, 196, 506, 99, 204, 3, 205, 29]"
580,518,Gender,Male,I FUCKING DESPISE MEN THEIR VERY EXISTENCE MAKES A MOCKERY OF LOW STATUS WOMEN,1,"['fucking', 'despise', 'men', 'existence', 'makes', 'mockery', 'low', 'status', 'women']","[1649, 257, 1096, 1298, 29, 1105, 1209, 1601, 139, 107]"
581,519,Gender,Female,"Nothing will overcome nature's barrier of worthiness between male sperm and female eggs, and nothing will separate any ovum from this barrier of nature.",0,"['nothing', 'overcome', 'nature', 'barrier', 'worthiness', 'male', 'sperm', 'female', 'eggs', 'nothing', 'separate', 'ovum', 'barrier', 'nature']","[909, 1499, 1717, 1721, 743, 47, 143, 0, 487, 1021]"
582,520,Gender,Male,dudes don't sleep with Teddy bears,0,"['dudes', 'wake', 'teddy', 'bears']","[294, 221, 3, 1209, 347, 2319, 302, 1655, 1727, 445]"
583,521,Race,Chinese,they have built their media and political presence using cheap tactics sanctioned by their modern day colonial masters.,1,"['built', 'media', 'political', 'presence', 'using', 'cheap', 'tactics', 'sanctioned', 'modern', 'day', 'colonial', 'masters']","[0, 149, 1670, 760, 615, 530, 96, 796, 2989, 792]"
584,522,Race,Chinese,Many Chinese are also gangsters.,1,"['many', 'chinese', 'gangsters']","[487, 495, 1602, 1869, 1399, 1407, 139, 469, 146, 540]"
585,523,Race,Chinese,"Take selective few, screenshot and label all Chinese as racist",0,"['take', 'selective', 'screenshot', 'label', 'chinese', 'racist']","[204, 29, 187, 1336, 824, 28, 0, 27, 82, 173]"
586,524,Race,Malaysian,at the end he was talking about malaysians..,0,"['end', 'talking', 'malaysians']","[1346, 204, 1082, 1772, 1514, 234, 30, 2344, 28, 1769]"
587,527,Religion,Islam,Why BABI is an offensive word?,0,"['babi', 'offensive', 'word']","[2402, 147, 701, 710, 2597, 706, 856, 709, 708, 707]"
588,527,Religion,Islam,BABI is a kind binatang.,0,"['babi', 'kind', 'binatang']","[2402, 147, 701, 710, 2597, 706, 856, 709, 708, 707]"
589,527,Religion,Islam,BABI haram is from religion.,0,"['babi', 'haram', 'religion']","[234, 51, 46, 621, 28, 462, 20, 909, 1037, 600]"
590,527,Religion,Islam,Don't blame BABI on everything.,0,"['absolve', 'babi', 'everything']","[2402, 147, 701, 710, 2597, 706, 856, 709, 708, 707]"
591,528,Gender,Male,"Despite the number of men and women in the world being equal, in feminist societies in the modern ERa, the situation in terms of “distribution of love and sex” is completely unfair to men",0,"['despite', 'number', 'men', 'women', 'world', 'equal', 'feminist', 'societies', 'modern', 'era', 'situation', 'terms', 'distribution', 'love', 'sex', 'completely', 'unfair', 'men']","[17, 56, 1713, 196, 506, 99, 204, 3, 205, 29]"
592,530,Gender,Male,Blame the men for constructing such society like this.,1,"['blame', 'men', 'constructing', 'society', 'like']","[16, 17, 3, 1209, 1215, 186, 722, 530, 2505, 2734]"
